cell_type,n_cells
fibroblast of lung,16639
pulmonary interstitial fibroblast,8289
epithelial cell of lung,5595
tracheobronchial smooth muscle cell,2903
macrophage,2836
pericyte,2152
capillary endothelial cell,1991
lung multiciliated epithelial cell,1641
dendritic cell,1534
classical monocyte,1252
natural killer cell,1181
endothelial cell of lymphatic vessel,1020
respiratory tract epithelial cell,991
erythrocyte,863
myofibroblast cell,846
"CD16-negative, CD56-bright natural killer cell, human",752
"CD16-positive, CD56-dim natural killer cell, human",687
precursor B cell,650
vascular associated smooth muscle cell,638
"CD4-positive, alpha-beta T cell",638
B-1b B cell,555
large pre-B-II cell,546
pre-B-I cell,542
immature B cell,526
small pre-B-II cell,453
late pro-B cell,452
pulmonary neuroendocrine cell,409
"CD8-positive, alpha-beta T cell",405
non-classical monocyte,403
pulmonary alveolar type 2 cell,382
vein endothelial cell,336
bronchus fibroblast of lung,309
reticulocyte,290
pulmonary alveolar type 1 cell,283
B-1a B cell,279
basal cell,278
mature NK T cell,270
regulatory T cell,253
club cell,208
"dendritic cell, human",198
mesothelial cell,193
T-helper 17 cell,167
endothelial cell of artery,157
group 2 innate lymphoid cell,149
Schwann cell,139
neutrophil,139
pro-B cell,135
group 3 innate lymphoid cell,135
lung secretory cell,128
plasmacytoid dendritic cell,125
promonocyte,121
erythroblast,119
"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",76
megakaryocyte,60
chondrocyte,49
T cell,46
promyelocyte,35
bone marrow cell,35
neuron,30
granulocyte monocyte progenitor cell,29
hematopoietic stem cell,29
megakaryocyte-erythroid progenitor cell,28
endothelial cell,27
mast cell,22
early lymphoid progenitor,21
platelet,20
neural progenitor cell,14
eosinophil,13
thymocyte,12
squamous epithelial cell,11
common myeloid progenitor,7
basophil,7
immature Schwann cell,3
mesenchymal cell,2
Schwann cell precursor,1
