dataset_id,development_stage,n_cells
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,18th week post-fertilization stage,1766
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,15th week post-fertilization stage,1694
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,22nd week post-fertilization stage,1571
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,20th week post-fertilization stage,1487
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,11th week post-fertilization stage,290
0ba16f4b-cb87-4fa3-9363-19fc51eec6e7,9th week post-fertilization stage,84
2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,11th week post-fertilization stage,5121
2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,12th week post-fertilization stage,4526
350237e0-9f48-4cbd-9140-3b44495549f3,15th week post-fertilization stage,146898
350237e0-9f48-4cbd-9140-3b44495549f3,17th week post-fertilization stage,92480
350237e0-9f48-4cbd-9140-3b44495549f3,13th week post-fertilization stage,86042
350237e0-9f48-4cbd-9140-3b44495549f3,14th week post-fertilization stage,41250
350237e0-9f48-4cbd-9140-3b44495549f3,16th week post-fertilization stage,35893
350237e0-9f48-4cbd-9140-3b44495549f3,9th week post-fertilization stage,29118
350237e0-9f48-4cbd-9140-3b44495549f3,21st week post-fertilization stage,28180
350237e0-9f48-4cbd-9140-3b44495549f3,10th week post-fertilization stage,27925
350237e0-9f48-4cbd-9140-3b44495549f3,11th week post-fertilization stage,27715
350237e0-9f48-4cbd-9140-3b44495549f3,12th week post-fertilization stage,16475
350237e0-9f48-4cbd-9140-3b44495549f3,20th week post-fertilization stage,4319
350237e0-9f48-4cbd-9140-3b44495549f3,18th week post-fertilization stage,4195
350237e0-9f48-4cbd-9140-3b44495549f3,22nd week post-fertilization stage,3863
3dc61ca1-ce40-46b6-8337-f27260fd9a03,18th week post-fertilization stage,13170
3dc61ca1-ce40-46b6-8337-f27260fd9a03,22nd week post-fertilization stage,12217
3dc61ca1-ce40-46b6-8337-f27260fd9a03,15th week post-fertilization stage,12071
3dc61ca1-ce40-46b6-8337-f27260fd9a03,11th week post-fertilization stage,9531
3dc61ca1-ce40-46b6-8337-f27260fd9a03,9th week post-fertilization stage,8280
3dc61ca1-ce40-46b6-8337-f27260fd9a03,20th week post-fertilization stage,7490
3de0ad6d-4378-4f62-b37b-ec0b75a50d94,31st week post-fertilization stage,17026
4023a2bc-6325-47db-bfdf-9639e91042c2,11th week post-fertilization stage,2110
4023a2bc-6325-47db-bfdf-9639e91042c2,9th week post-fertilization stage,2045
4023a2bc-6325-47db-bfdf-9639e91042c2,15th week post-fertilization stage,1729
4023a2bc-6325-47db-bfdf-9639e91042c2,18th week post-fertilization stage,1570
4023a2bc-6325-47db-bfdf-9639e91042c2,22nd week post-fertilization stage,656
4023a2bc-6325-47db-bfdf-9639e91042c2,20th week post-fertilization stage,175
62315937-e268-4fa5-a032-8f7d776f3a3f,22nd week post-fertilization stage,1621
