soma_joinid,citation,collection_id,collection_name,collection_doi,collection_doi_label,dataset_id,dataset_version_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
43,Publication: https://doi.org/10.1016/j.cell.2022.11.005 Dataset Version: https://datasets.cellxgene.cziscience.com/4e4be92c-985c-43c1-a24c-c6b2c0dca70a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,10.1016/j.cell.2022.11.005,He et al. (2022) Cell,703f00e6-b996-48e5-bc34-00c41b9876f4,4e4be92c-985c-43c1-a24c-c6b2c0dca70a,PNS,703f00e6-b996-48e5-bc34-00c41b9876f4.h5ad,649
62,Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/fc095b90-63b6-4fb3-bd23-a48e869467f5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,02b01703-bf1b-48de-b99a-23bef8cccc81,Spatially mapping T cell receptors and transcriptomes,10.1016/j.immuni.2022.09.002,Liu et al. (2022) Immunity,9b1437bb-42fe-47d8-8962-835d95581763,fc095b90-63b6-4fb3-bd23-a48e869467f5,"Renal cell carcinoma, post aPD1, lung metastasis Puck_200727_09",9b1437bb-42fe-47d8-8962-835d95581763.h5ad,14990
75,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/06748cf1-9a1d-4ac5-9999-98152bfc6ae9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,eec804b9-2ae5-44f0-a1b5-d721e21257de,06748cf1-9a1d-4ac5-9999-98152bfc6ae9,74 years old female - Airway Wash (5 days post-intubation),eec804b9-2ae5-44f0-a1b5-d721e21257de.h5ad,1324
108,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/42bfe98e-093a-451b-ab2f-4d43f9316d62.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,b25f3834-69b3-4d87-a272-3938432d1f30,42bfe98e-093a-451b-ab2f-4d43f9316d62,82 years old female - Airway Wash (1 day post-intubation),b25f3834-69b3-4d87-a272-3938432d1f30.h5ad,1074
109,Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/609c2e68-00c6-401d-a4de-42c984f29635.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,02b01703-bf1b-48de-b99a-23bef8cccc81,Spatially mapping T cell receptors and transcriptomes,10.1016/j.immuni.2022.09.002,Liu et al. (2022) Immunity,cc43509e-8729-4cbc-ace9-f0f7d654ee53,609c2e68-00c6-401d-a4de-42c984f29635,"Renal cell carcinoma, post aPD1, lung metastasis Puck_200727_10",cc43509e-8729-4cbc-ace9-f0f7d654ee53.h5ad,15366
136,Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/e407a87b-5fad-4cef-83f8-85ee38e45dc9.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,02b01703-bf1b-48de-b99a-23bef8cccc81,Spatially mapping T cell receptors and transcriptomes,10.1016/j.immuni.2022.09.002,Liu et al. (2022) Immunity,6d243918-f3f6-4a9e-b72e-39d96de73095,e407a87b-5fad-4cef-83f8-85ee38e45dc9,"Renal cell carcinoma, post aPD1, lung metastasis Puck_200727_08",6d243918-f3f6-4a9e-b72e-39d96de73095.h5ad,18851
142,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/455d61c0-3709-4084-8b2f-cde2f1484970.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,a65bcc2d-4243-44c1-a262-ab7dcddfcf86,455d61c0-3709-4084-8b2f-cde2f1484970,74 years old female - Airway Wash (7 days post-intubation),a65bcc2d-4243-44c1-a262-ab7dcddfcf86.h5ad,810
208,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/6f4e1c53-ec01-4937-a115-a0e95c5ff648.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b,6f4e1c53-ec01-4937-a115-a0e95c5ff648,49 years old male - Airway Wash (3 days post-intubation),e5f5d954-cf0e-4bd8-9346-8d1ddf15a08b.h5ad,2487
209,Publication: https://doi.org/10.1016/j.immuni.2021.03.005 Dataset Version: https://datasets.cellxgene.cziscience.com/5d26b495-41c5-4485-91b8-a0a5e5762412.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/29f92179-ca10-4309-a32b-d383d80347c1,29f92179-ca10-4309-a32b-d383d80347c1,Longitudinal profiling of respiratory and systemic immune responses reveals myeloid cell-driven lung inflammation in severe COVID-19,10.1016/j.immuni.2021.03.005,Szabo et al. (2021) Immunity,62de80d7-e6c4-4ff0-ad4c-d3d36f57cb93,5d26b495-41c5-4485-91b8-a0a5e5762412,66 years old female - Airway Wash (4 days post-intubation),62de80d7-e6c4-4ff0-ad4c-d3d36f57cb93.h5ad,2598
216,Publication: https://doi.org/10.1016/j.immuni.2022.09.002 Dataset Version: https://datasets.cellxgene.cziscience.com/72ea6236-2371-42ae-a1ad-6e6b698170d2.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/02b01703-bf1b-48de-b99a-23bef8cccc81,02b01703-bf1b-48de-b99a-23bef8cccc81,Spatially mapping T cell receptors and transcriptomes,10.1016/j.immuni.2022.09.002,Liu et al. (2022) Immunity,32ffc3a7-c88d-49e1-894f-8e09d0184ee9,72ea6236-2371-42ae-a1ad-6e6b698170d2,"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_13",32ffc3a7-c88d-49e1-894f-8e09d0184ee9.h5ad,40217
