stage,class,threshold,denominator,n_cells,fraction
12th week post-fertilization stage,annotated_airway,n/a,total_epithelial,18,0.0066518847006651885
12th week post-fertilization stage,annotated_alveolar,n/a,total_epithelial,0,0.0
12th week post-fertilization stage,candidate_pool_total,n/a,total_epithelial,2688,0.9933481152993349
12th week post-fertilization stage,candidate_bipotent,relaxed,total_epithelial,12,0.004434589800443459
12th week post-fertilization stage,candidate_bipotent,relaxed,candidate_pool,12,0.004464285714285714
12th week post-fertilization stage,transitioning_airway,relaxed,total_epithelial,121,0.044715447154471545
12th week post-fertilization stage,transitioning_airway,relaxed,candidate_pool,121,0.04501488095238095
12th week post-fertilization stage,transitioning_alveolar,relaxed,total_epithelial,410,0.15151515151515152
12th week post-fertilization stage,transitioning_alveolar,relaxed,candidate_pool,410,0.15252976190476192
12th week post-fertilization stage,undefined,relaxed,total_epithelial,2145,0.7926829268292683
12th week post-fertilization stage,undefined,relaxed,candidate_pool,2145,0.7979910714285714
12th week post-fertilization stage,candidate_bipotent,moderate,total_epithelial,12,0.004434589800443459
12th week post-fertilization stage,candidate_bipotent,moderate,candidate_pool,12,0.004464285714285714
12th week post-fertilization stage,transitioning_airway,moderate,total_epithelial,121,0.044715447154471545
12th week post-fertilization stage,transitioning_airway,moderate,candidate_pool,121,0.04501488095238095
12th week post-fertilization stage,transitioning_alveolar,moderate,total_epithelial,410,0.15151515151515152
12th week post-fertilization stage,transitioning_alveolar,moderate,candidate_pool,410,0.15252976190476192
12th week post-fertilization stage,undefined,moderate,total_epithelial,2145,0.7926829268292683
12th week post-fertilization stage,undefined,moderate,candidate_pool,2145,0.7979910714285714
12th week post-fertilization stage,candidate_bipotent,stringent,total_epithelial,12,0.004434589800443459
12th week post-fertilization stage,candidate_bipotent,stringent,candidate_pool,12,0.004464285714285714
12th week post-fertilization stage,transitioning_airway,stringent,total_epithelial,121,0.044715447154471545
12th week post-fertilization stage,transitioning_airway,stringent,candidate_pool,121,0.04501488095238095
