stage,direction,rank,gene,log_fold_change,adjusted_p_value,gene_class,interpretable,recurrence_n_stages
12th week post-fertilization stage,airway_top,1,SOX2,10.025547981262207,7.420390004123511e-72,biological,True,5
12th week post-fertilization stage,airway_top,2,SCGB3A2,4.7261247634887695,7.045701075565183e-24,biological,True,5
12th week post-fertilization stage,airway_top,3,NTN1,3.1115686893463135,4.0338719888492794e-10,biological,True,5
12th week post-fertilization stage,airway_top,4,JUN,3.1012070178985596,1.0080054255810485e-08,biological,True,5
12th week post-fertilization stage,airway_top,5,CLIC6,2.6216671466827393,4.092859262688378e-07,biological,True,4
12th week post-fertilization stage,airway_top,6,BMP3,2.489478349685669,2.8652230402776187e-06,biological,True,2
12th week post-fertilization stage,airway_top,7,NEGR1,3.193725347518921,2.149503915717985e-05,biological,True,1
12th week post-fertilization stage,airway_top,8,CTNND2,2.505772590637207,0.00014056936747850339,biological,True,1
12th week post-fertilization stage,airway_top,9,ALCAM,1.6238638162612915,0.0004978054436261453,biological,True,5
12th week post-fertilization stage,airway_top,10,NLGN1,2.0331320762634277,0.0004978054436261453,biological,True,1
12th week post-fertilization stage,airway_top,11,CFTR,2.391788959503174,0.000555255374186418,biological,True,1
12th week post-fertilization stage,airway_top,12,DMD,1.716196894645691,0.000699786400596292,biological,True,4
12th week post-fertilization stage,airway_top,13,ERBB4,1.979864478111267,0.0007081511529171678,biological,True,2
12th week post-fertilization stage,airway_top,14,H19,1.9744970798492432,0.0014171851603791967,biological,True,5
12th week post-fertilization stage,airway_top,15,PRKCE,2.194155693054199,0.001708547616929488,biological,True,1
12th week post-fertilization stage,airway_top,16,CNTN4,2.1897079944610596,0.0022311799482094665,biological,True,2
12th week post-fertilization stage,airway_top,17,SECISBP2L,1.913452386856079,0.0022311799482094665,biological,True,2
12th week post-fertilization stage,airway_top,18,NPNT,2.8191115856170654,0.003723483994801536,biological,True,1
12th week post-fertilization stage,airway_top,19,MAGI3,1.5060161352157593,0.003723483994801536,biological,True,2
12th week post-fertilization stage,airway_top,20,GPC5,1.3802814483642578,0.00968025042821757,biological,True,4
12th week post-fertilization stage,alveolar_top,1,SOX9,10.072964668273926,7.639202364967181e-222,biological,True,5
12th week post-fertilization stage,alveolar_top,2,ATP11A,1.9106667041778564,1.364739992344536e-22,biological,True,5
12th week post-fertilization stage,alveolar_top,3,ETV5,1.846030831336975,2.954415142629165e-18,biological,True,5
12th week post-fertilization stage,alveolar_top,4,NPC2,1.8080090284347534,3.8388040067406237e-17,biological,True,4
12th week post-fertilization stage,alveolar_top,5,SFTPC,1.9501937627792358,4.47657388340311e-17,biological,True,5
12th week post-fertilization stage,alveolar_top,6,FOXP2,1.4716465473175049,4.47657388340311e-17,biological,True,3
12th week post-fertilization stage,alveolar_top,7,DLG2,1.6742748022079468,9.357327831075089e-16,biological,True,4
12th week post-fertilization stage,alveolar_top,8,SLC34A2,1.7948898077011108,8.367004186201037e-15,biological,True,5
12th week post-fertilization stage,alveolar_top,9,WWC1,1.5964900255203247,9.03036750836813e-15,biological,True,2
12th week post-fertilization stage,alveolar_top,10,TPPP3,1.9951494932174683,3.860863340624799e-14,biological,True,4
12th week post-fertilization stage,alveolar_top,11,SEL1L3,1.500948429107666,2.1147356051682663e-12,biological,True,5
12th week post-fertilization stage,alveolar_top,12,FAM184A,1.5817979574203491,2.445478805746917e-12,biological,True,2
12th week post-fertilization stage,alveolar_top,13,ADAMTS6,1.6423556804656982,1.1292231409330946e-11,biological,True,1
12th week post-fertilization stage,alveolar_top,14,COL11A1,1.8003004789352417,1.1860995062626341e-11,biological,True,3
12th week post-fertilization stage,alveolar_top,15,PTPRG,1.680871605873108,1.5937513694713988e-11,biological,True,1
12th week post-fertilization stage,alveolar_top,16,ROS1,1.464963674545288,3.314634888766927e-11,biological,True,1
12th week post-fertilization stage,alveolar_top,17,PSD3,1.4893534183502197,3.3239325575847933e-11,biological,True,2
12th week post-fertilization stage,alveolar_top,18,PTPN13,1.460793137550354,4.277101971117948e-11,biological,True,4
12th week post-fertilization stage,alveolar_top,19,SLC4A4,1.7266393899917603,6.138510363198365e-11,biological,True,4
