stage,class,threshold,n_cells,fraction
9th week post-fertilization stage,annotated_airway,n/a,421,0.2340188993885492
9th week post-fertilization stage,annotated_alveolar,n/a,0,0.0
9th week post-fertilization stage,candidate_pool_total,n/a,1378,0.7659811006114509
9th week post-fertilization stage,candidate_bipotent,relaxed,630,0.35019455252918286
9th week post-fertilization stage,transitioning_airway,relaxed,186,0.10339077265147303
9th week post-fertilization stage,transitioning_alveolar,relaxed,419,0.23290717065036132
9th week post-fertilization stage,undefined,relaxed,143,0.07948860478043357
9th week post-fertilization stage,candidate_bipotent,moderate,393,0.21845469705391884
9th week post-fertilization stage,transitioning_airway,moderate,236,0.1311839911061701
9th week post-fertilization stage,transitioning_alveolar,moderate,544,0.3023902167871039
9th week post-fertilization stage,undefined,moderate,205,0.11395219566425792
9th week post-fertilization stage,candidate_bipotent,stringent,93,0.05169538632573652
9th week post-fertilization stage,transitioning_airway,stringent,240,0.13340744858254586
9th week post-fertilization stage,transitioning_alveolar,stringent,508,0.28237909949972206
9th week post-fertilization stage,undefined,stringent,537,0.29849916620344635
11th week post-fertilization stage,annotated_airway,n/a,634,0.3103279490944689
11th week post-fertilization stage,annotated_alveolar,n/a,0,0.0
11th week post-fertilization stage,candidate_pool_total,n/a,1409,0.6896720509055311
11th week post-fertilization stage,candidate_bipotent,relaxed,664,0.32501223690651004
11th week post-fertilization stage,transitioning_airway,relaxed,134,0.06558981889378365
11th week post-fertilization stage,transitioning_alveolar,relaxed,484,0.23690651003426333
11th week post-fertilization stage,undefined,relaxed,127,0.06216348507097406
11th week post-fertilization stage,candidate_bipotent,moderate,499,0.2442486539402839
11th week post-fertilization stage,transitioning_airway,moderate,170,0.08321096426823299
11th week post-fertilization stage,transitioning_alveolar,moderate,575,0.28144884973078804
11th week post-fertilization stage,undefined,moderate,165,0.08076358296622614
11th week post-fertilization stage,candidate_bipotent,stringent,128,0.06265296133137543
11th week post-fertilization stage,transitioning_airway,stringent,184,0.09006363191385218
11th week post-fertilization stage,transitioning_alveolar,stringent,654,0.3201174743024963
11th week post-fertilization stage,undefined,stringent,443,0.21683798335780716
15th week post-fertilization stage,annotated_airway,n/a,427,0.22228006246746487
15th week post-fertilization stage,annotated_alveolar,n/a,76,0.03956272774596564
15th week post-fertilization stage,candidate_pool_total,n/a,1418,0.7381572097865695
15th week post-fertilization stage,candidate_bipotent,relaxed,501,0.260801665799063
15th week post-fertilization stage,transitioning_airway,relaxed,89,0.0463300364393545
15th week post-fertilization stage,transitioning_alveolar,relaxed,684,0.3560645497136908
15th week post-fertilization stage,undefined,relaxed,144,0.07496095783446122
15th week post-fertilization stage,candidate_bipotent,moderate,335,0.1743883394065591
15th week post-fertilization stage,transitioning_airway,moderate,94,0.048932847475273294
15th week post-fertilization stage,transitioning_alveolar,moderate,793,0.41280583029672047
15th week post-fertilization stage,undefined,moderate,196,0.10203019260801666
15th week post-fertilization stage,candidate_bipotent,stringent,42,0.021863612701717855
15th week post-fertilization stage,transitioning_airway,stringent,73,0.03800104112441437
15th week post-fertilization stage,transitioning_alveolar,stringent,729,0.3794898490369599
15th week post-fertilization stage,undefined,stringent,574,0.2988027069234774
18th week post-fertilization stage,annotated_airway,n/a,473,0.261037527593819
18th week post-fertilization stage,annotated_alveolar,n/a,85,0.04690949227373068
18th week post-fertilization stage,candidate_pool_total,n/a,1254,0.6920529801324503
18th week post-fertilization stage,candidate_bipotent,relaxed,133,0.07339955849889625
18th week post-fertilization stage,transitioning_airway,relaxed,71,0.039183222958057394
18th week post-fertilization stage,transitioning_alveolar,relaxed,698,0.3852097130242826
18th week post-fertilization stage,undefined,relaxed,352,0.19426048565121412
18th week post-fertilization stage,candidate_bipotent,moderate,86,0.04746136865342163
18th week post-fertilization stage,transitioning_airway,moderate,69,0.0380794701986755
18th week post-fertilization stage,transitioning_alveolar,moderate,689,0.380242825607064
18th week post-fertilization stage,undefined,moderate,410,0.22626931567328917
18th week post-fertilization stage,candidate_bipotent,stringent,13,0.00717439293598234
18th week post-fertilization stage,transitioning_airway,stringent,24,0.013245033112582781
18th week post-fertilization stage,transitioning_alveolar,stringent,448,0.24724061810154527
18th week post-fertilization stage,undefined,stringent,769,0.42439293598233996
20th week post-fertilization stage,annotated_airway,n/a,750,0.8761682242990654
20th week post-fertilization stage,annotated_alveolar,n/a,36,0.04205607476635514
20th week post-fertilization stage,candidate_pool_total,n/a,70,0.08177570093457943
20th week post-fertilization stage,candidate_bipotent,relaxed,7,0.008177570093457943
20th week post-fertilization stage,transitioning_airway,relaxed,1,0.0011682242990654205
20th week post-fertilization stage,transitioning_alveolar,relaxed,43,0.05023364485981308
20th week post-fertilization stage,undefined,relaxed,19,0.02219626168224299
20th week post-fertilization stage,candidate_bipotent,moderate,2,0.002336448598130841
20th week post-fertilization stage,transitioning_airway,moderate,1,0.0011682242990654205
20th week post-fertilization stage,transitioning_alveolar,moderate,44,0.0514018691588785
20th week post-fertilization stage,undefined,moderate,23,0.026869158878504672
20th week post-fertilization stage,candidate_bipotent,stringent,0,0.0
20th week post-fertilization stage,transitioning_airway,stringent,2,0.002336448598130841
20th week post-fertilization stage,transitioning_alveolar,stringent,19,0.02219626168224299
20th week post-fertilization stage,undefined,stringent,49,0.05724299065420561
22nd week post-fertilization stage,annotated_airway,n/a,552,0.5082872928176796
22nd week post-fertilization stage,annotated_alveolar,n/a,468,0.430939226519337
22nd week post-fertilization stage,candidate_pool_total,n/a,66,0.06077348066298342
22nd week post-fertilization stage,candidate_bipotent,relaxed,1,0.0009208103130755065
22nd week post-fertilization stage,transitioning_airway,relaxed,4,0.003683241252302026
22nd week post-fertilization stage,transitioning_alveolar,relaxed,21,0.019337016574585635
22nd week post-fertilization stage,undefined,relaxed,40,0.03683241252302026
22nd week post-fertilization stage,candidate_bipotent,moderate,1,0.0009208103130755065
22nd week post-fertilization stage,transitioning_airway,moderate,4,0.003683241252302026
22nd week post-fertilization stage,transitioning_alveolar,moderate,16,0.014732965009208104
22nd week post-fertilization stage,undefined,moderate,45,0.04143646408839779
22nd week post-fertilization stage,candidate_bipotent,stringent,1,0.0009208103130755065
22nd week post-fertilization stage,transitioning_airway,stringent,2,0.001841620626151013
22nd week post-fertilization stage,transitioning_alveolar,stringent,9,0.008287292817679558
22nd week post-fertilization stage,undefined,stringent,54,0.049723756906077346
