stage,direction,rank,gene,log_fold_change,adjusted_p_value,gene_class,interpretable,recurrence_n_stages
15th week post-fertilization stage,airway_top,1,ANXA2,1.8551818132400513,2.4367409570364546e-141,biological,True,1
15th week post-fertilization stage,airway_top,2,AGR2,3.9125452041625977,1.3141692519629703e-135,biological,True,4
15th week post-fertilization stage,airway_top,3,S100A11,1.5562191009521484,2.822032410328359e-129,biological,True,3
15th week post-fertilization stage,airway_top,4,ANXA1,4.518407344818115,1.8144292491343852e-124,biological,True,2
15th week post-fertilization stage,airway_top,5,PERP,2.1104817390441895,1.6648728672451327e-121,biological,True,2
15th week post-fertilization stage,airway_top,6,HMGN3,1.8109568357467651,2.7554496038354718e-121,biological,True,3
15th week post-fertilization stage,airway_top,7,FXYD3,4.1295552253723145,1.0836045119429044e-116,biological,True,2
15th week post-fertilization stage,airway_top,8,SOX2,2.9811995029449463,7.873043226526693e-115,biological,True,2
15th week post-fertilization stage,airway_top,9,DSTN,1.4000142812728882,1.940244320396875e-99,biological,True,2
15th week post-fertilization stage,airway_top,10,CALM1,2.648411989212036,4.527150007051019e-99,biological,True,2
15th week post-fertilization stage,airway_top,11,CHST9,7.919637203216553,7.457645347394436e-99,biological,True,1
15th week post-fertilization stage,airway_top,12,RP1,6.442217826843262,1.894189689002825e-98,biological,True,1
15th week post-fertilization stage,airway_top,13,H2AJ,2.7457306385040283,8.358416461879768e-95,biological,True,2
15th week post-fertilization stage,airway_top,14,AGR3,8.87328815460205,6.7616676521307915e-93,biological,True,4
15th week post-fertilization stage,airway_top,15,EZR,1.6957405805587769,7.719746794159116e-92,biological,True,2
15th week post-fertilization stage,airway_top,16,PLPP2,5.084165096282959,4.807540394862507e-91,biological,True,3
15th week post-fertilization stage,airway_top,17,HSPA1A,2.9550814628601074,1.1610680587527691e-87,housekeeping,False,0
15th week post-fertilization stage,airway_top,18,CAPS,6.718285083770752,1.8130408472396e-85,biological,True,4
15th week post-fertilization stage,airway_top,19,MT2A,4.227944374084473,1.3335920428774504e-84,housekeeping,False,0
15th week post-fertilization stage,airway_top,20,IFT57,3.3371052742004395,6.259538255549326e-83,biological,True,3
15th week post-fertilization stage,alveolar_top,1,CRLF1,1.9729325771331787,1.1146979350225256e-14,biological,True,1
15th week post-fertilization stage,alveolar_top,2,SMARCA5,1.407559514045715,4.4562704949111726e-12,biological,True,4
15th week post-fertilization stage,alveolar_top,3,CLIC3,1.4104342460632324,9.72493077398939e-10,biological,True,4
15th week post-fertilization stage,alveolar_top,4,AGER,1.7359133958816528,2.47835489482576e-09,biological,True,4
15th week post-fertilization stage,alveolar_top,5,TMSB4X,0.7587143182754517,2.7587219163727295e-09,housekeeping,False,0
15th week post-fertilization stage,alveolar_top,6,GNAS,0.9952213764190674,8.66708100019127e-09,housekeeping,False,0
15th week post-fertilization stage,alveolar_top,7,SFTPB,1.5839121341705322,1.0476720066485504e-08,biological,True,2
15th week post-fertilization stage,alveolar_top,8,MYL9,1.1443010568618774,1.0476720066485504e-08,biological,True,4
15th week post-fertilization stage,alveolar_top,9,MALAT1,0.8113234639167786,2.9419256735864107e-08,housekeeping,False,0
15th week post-fertilization stage,alveolar_top,10,AGRN,1.6021796464920044,2.51662288992354e-07,biological,True,1
15th week post-fertilization stage,alveolar_top,11,BCAM,0.7883898019790649,6.096135959682423e-07,biological,True,2
