stage,state,n_cells,frac_of_total_epithelial,frac_of_candidate_pool
9th week post-fertilization stage,candidate_bipotent,393,0.21845469705391884,0.28519593613933236
9th week post-fertilization stage,transitioning_airway,236,0.1311839911061701,0.17126269956458637
9th week post-fertilization stage,transitioning_alveolar,544,0.3023902167871039,0.39477503628447025
9th week post-fertilization stage,undefined,205,0.11395219566425792,0.14876632801161102
9th week post-fertilization stage,annotated_airway,421,0.2340188993885492,
9th week post-fertilization stage,annotated_alveolar,0,0.0,
11th week post-fertilization stage,candidate_bipotent,499,0.2442486539402839,0.35415188076650106
11th week post-fertilization stage,transitioning_airway,170,0.08321096426823299,0.12065294535131299
11th week post-fertilization stage,transitioning_alveolar,575,0.28144884973078804,0.40809084457061745
11th week post-fertilization stage,undefined,165,0.08076358296622614,0.11710432931156849
11th week post-fertilization stage,annotated_airway,634,0.3103279490944689,
11th week post-fertilization stage,annotated_alveolar,0,0.0,
15th week post-fertilization stage,candidate_bipotent,335,0.1743883394065591,0.23624823695345556
15th week post-fertilization stage,transitioning_airway,94,0.048932847475273294,0.06629055007052186
15th week post-fertilization stage,transitioning_alveolar,793,0.41280583029672047,0.5592383638928068
15th week post-fertilization stage,undefined,196,0.10203019260801666,0.1382228490832158
15th week post-fertilization stage,annotated_airway,427,0.22228006246746487,
15th week post-fertilization stage,annotated_alveolar,76,0.03956272774596564,
18th week post-fertilization stage,candidate_bipotent,86,0.04746136865342163,0.0685805422647528
18th week post-fertilization stage,transitioning_airway,69,0.0380794701986755,0.05502392344497608
18th week post-fertilization stage,transitioning_alveolar,689,0.380242825607064,0.5494417862838915
18th week post-fertilization stage,undefined,410,0.22626931567328917,0.3269537480063796
18th week post-fertilization stage,annotated_airway,473,0.261037527593819,
18th week post-fertilization stage,annotated_alveolar,85,0.04690949227373068,
20th week post-fertilization stage,candidate_bipotent,2,0.002336448598130841,0.02857142857142857
20th week post-fertilization stage,transitioning_airway,1,0.0011682242990654205,0.014285714285714285
20th week post-fertilization stage,transitioning_alveolar,44,0.0514018691588785,0.6285714285714286
20th week post-fertilization stage,undefined,23,0.026869158878504672,0.32857142857142857
20th week post-fertilization stage,annotated_airway,750,0.8761682242990654,
20th week post-fertilization stage,annotated_alveolar,36,0.04205607476635514,
22nd week post-fertilization stage,candidate_bipotent,1,0.0009208103130755065,0.015151515151515152
22nd week post-fertilization stage,transitioning_airway,4,0.003683241252302026,0.06060606060606061
22nd week post-fertilization stage,transitioning_alveolar,16,0.014732965009208104,0.24242424242424243
22nd week post-fertilization stage,undefined,45,0.04143646408839779,0.6818181818181818
22nd week post-fertilization stage,annotated_airway,552,0.5082872928176796,
22nd week post-fertilization stage,annotated_alveolar,468,0.430939226519337,
