substrate,view,stage,n_cells,bimodality_coefficient,gap_zone_fraction,co_commitment_fraction,median_distal_tip_score,median_airway_score,median_alveolar_score
he2022,all_in_pool,9th week post-fertilization stage,1378,0.3057638981128957,0.8214804063860668,0.00725689404934688,0.11634781479835515,-0.02728175222873685,-0.7836411970853806
he2022,exiting_tip_in_pool,9th week post-fertilization stage,891,0.3477967138472768,0.9371492704826038,0.001122334455667789,-0.1458578777313233,0.0056725335121154,-0.8309873175621032
he2022,all_in_pool,11th week post-fertilization stage,1409,0.33198772585134806,0.6394606103619588,0.12845990063875087,0.4325723457336425,-0.0568414866924286,-0.3129528403282164
he2022,exiting_tip_in_pool,11th week post-fertilization stage,554,0.3626733772432953,0.9548736462093863,0.11371841155234658,-0.08689648270606995,0.04312630295753475,-0.5077014672756195
he2022,all_in_pool,15th week post-fertilization stage,1418,0.38443344840108074,0.5176304654442877,0.33568406205923834,0.48950296401977544,-0.2410795307159424,1.1567788791656493
he2022,exiting_tip_in_pool,15th week post-fertilization stage,481,0.4796480706829294,0.814968814968815,0.3700623700623701,0.0350494813919067,-0.2064966213703155,1.1543785285949708
he2022,all_in_pool,18th week post-fertilization stage,1254,0.33273867026755855,0.5462519936204147,0.2503987240829346,0.27755835056304934,-0.2919304624199867,1.3424269485473634
he2022,exiting_tip_in_pool,18th week post-fertilization stage,664,0.3533386038703096,0.7243975903614458,0.27259036144578314,-0.0693021821975708,-0.2816725239157677,1.2608809995651242
he2022,all_in_pool,20th week post-fertilization stage,70,0.394009548749976,0.2571428571428571,0.14285714285714285,0.28177311778068537,-0.3247408527135849,1.8030411434173583
he2022,exiting_tip_in_pool,20th week post-fertilization stage,40,0.6007067738052796,0.3,0.125,0.1036561155319213,-0.34842854335904117,1.7112935781478882
he2022,all_in_pool,22nd week post-fertilization stage,66,0.4292520385736373,0.18181818181818182,0.16666666666666666,-0.0017654168605804998,-0.3140314543247223,2.189842329025269
he2022,exiting_tip_in_pool,22nd week post-fertilization stage,50,0.42858044337283757,0.24,0.18,-0.0505917990207672,-0.278931950032711,2.1522327709197997
