substrate,view,stage,airway_bin,alveolar_bin,n_cells,fraction_of_view
he2022,all_epithelial,9th week post-fertilization stage,0,0,41,0.022790439132851583
he2022,all_epithelial,9th week post-fertilization stage,0,1,56,0.0311284046692607
he2022,all_epithelial,9th week post-fertilization stage,0,2,67,0.03724291272929405
he2022,all_epithelial,9th week post-fertilization stage,0,3,8,0.0044469149527515284
he2022,all_epithelial,9th week post-fertilization stage,0,4,0,0.0
he2022,all_epithelial,9th week post-fertilization stage,1,0,120,0.06670372429127293
he2022,all_epithelial,9th week post-fertilization stage,1,1,122,0.0678154530294608
he2022,all_epithelial,9th week post-fertilization stage,1,2,102,0.05669816564758199
he2022,all_epithelial,9th week post-fertilization stage,1,3,5,0.0027793218454697055
he2022,all_epithelial,9th week post-fertilization stage,1,4,0,0.0
he2022,all_epithelial,9th week post-fertilization stage,2,0,156,0.0867148415786548
he2022,all_epithelial,9th week post-fertilization stage,2,1,169,0.09394107837687604
he2022,all_epithelial,9th week post-fertilization stage,2,2,174,0.09672040022234575
he2022,all_epithelial,9th week post-fertilization stage,2,3,17,0.009449694274596998
he2022,all_epithelial,9th week post-fertilization stage,2,4,0,0.0
he2022,all_epithelial,9th week post-fertilization stage,3,0,92,0.05113952195664258
he2022,all_epithelial,9th week post-fertilization stage,3,1,120,0.06670372429127293
he2022,all_epithelial,9th week post-fertilization stage,3,2,114,0.06336853807670928
he2022,all_epithelial,9th week post-fertilization stage,3,3,2,0.0011117287381878821
he2022,all_epithelial,9th week post-fertilization stage,3,4,0,0.0
he2022,all_epithelial,9th week post-fertilization stage,4,0,143,0.07948860478043357
he2022,all_epithelial,9th week post-fertilization stage,4,1,136,0.07559755419677598
he2022,all_epithelial,9th week post-fertilization stage,4,2,150,0.08337965536409116
he2022,all_epithelial,9th week post-fertilization stage,4,3,5,0.0027793218454697055
he2022,all_epithelial,9th week post-fertilization stage,4,4,0,0.0
he2022,exiting_tip,9th week post-fertilization stage,0,0,7,0.008985879332477536
he2022,exiting_tip,9th week post-fertilization stage,0,1,9,0.011553273427471117
he2022,exiting_tip,9th week post-fertilization stage,0,2,8,0.010269576379974325
he2022,exiting_tip,9th week post-fertilization stage,0,3,1,0.0012836970474967907
he2022,exiting_tip,9th week post-fertilization stage,0,4,0,0.0
he2022,exiting_tip,9th week post-fertilization stage,1,0,28,0.03594351732991014
he2022,exiting_tip,9th week post-fertilization stage,1,1,29,0.037227214377406934
he2022,exiting_tip,9th week post-fertilization stage,1,2,19,0.024390243902439025
he2022,exiting_tip,9th week post-fertilization stage,1,3,0,0.0
he2022,exiting_tip,9th week post-fertilization stage,1,4,0,0.0
he2022,exiting_tip,9th week post-fertilization stage,2,0,70,0.08985879332477535
he2022,exiting_tip,9th week post-fertilization stage,2,1,53,0.06803594351732992
he2022,exiting_tip,9th week post-fertilization stage,2,2,25,0.03209242618741977
he2022,exiting_tip,9th week post-fertilization stage,2,3,1,0.0012836970474967907
he2022,exiting_tip,9th week post-fertilization stage,2,4,0,0.0
he2022,exiting_tip,9th week post-fertilization stage,3,0,64,0.0821566110397946
he2022,exiting_tip,9th week post-fertilization stage,3,1,55,0.07060333761232349
he2022,exiting_tip,9th week post-fertilization stage,3,2,43,0.055198973042362
he2022,exiting_tip,9th week post-fertilization stage,3,3,0,0.0
he2022,exiting_tip,9th week post-fertilization stage,3,4,0,0.0
he2022,exiting_tip,9th week post-fertilization stage,4,0,130,0.1668806161745828
he2022,exiting_tip,9th week post-fertilization stage,4,1,118,0.1514762516046213
he2022,exiting_tip,9th week post-fertilization stage,4,2,114,0.14634146341463414
he2022,exiting_tip,9th week post-fertilization stage,4,3,5,0.006418485237483954
he2022,exiting_tip,9th week post-fertilization stage,4,4,0,0.0
he2022,all_epithelial,11th week post-fertilization stage,0,0,8,0.003915810083210965
he2022,all_epithelial,11th week post-fertilization stage,0,1,22,0.010768477728830151
he2022,all_epithelial,11th week post-fertilization stage,0,2,127,0.06216348507097406
he2022,all_epithelial,11th week post-fertilization stage,0,3,50,0.024473813020068527
he2022,all_epithelial,11th week post-fertilization stage,0,4,0,0.0
he2022,all_epithelial,11th week post-fertilization stage,1,0,22,0.010768477728830151
he2022,all_epithelial,11th week post-fertilization stage,1,1,61,0.0298580518844836
he2022,all_epithelial,11th week post-fertilization stage,1,2,215,0.10523739598629467
he2022,all_epithelial,11th week post-fertilization stage,1,3,87,0.042584434654919234
he2022,all_epithelial,11th week post-fertilization stage,1,4,2,0.0009789525208027412
he2022,all_epithelial,11th week post-fertilization stage,2,0,60,0.02936857562408223
he2022,all_epithelial,11th week post-fertilization stage,2,1,96,0.04698972099853157
he2022,all_epithelial,11th week post-fertilization stage,2,2,242,0.11845325501713166
he2022,all_epithelial,11th week post-fertilization stage,2,3,137,0.06705824767498776
he2022,all_epithelial,11th week post-fertilization stage,2,4,2,0.0009789525208027412
he2022,all_epithelial,11th week post-fertilization stage,3,0,78,0.0381791483113069
he2022,all_epithelial,11th week post-fertilization stage,3,1,96,0.04698972099853157
he2022,all_epithelial,11th week post-fertilization stage,3,2,153,0.07488986784140969
he2022,all_epithelial,11th week post-fertilization stage,3,3,46,0.022515907978463045
he2022,all_epithelial,11th week post-fertilization stage,3,4,4,0.0019579050416054823
he2022,all_epithelial,11th week post-fertilization stage,4,0,110,0.05384238864415076
he2022,all_epithelial,11th week post-fertilization stage,4,1,151,0.07391091532060695
he2022,all_epithelial,11th week post-fertilization stage,4,2,223,0.10915320606950563
he2022,all_epithelial,11th week post-fertilization stage,4,3,51,0.024963289280469897
he2022,all_epithelial,11th week post-fertilization stage,4,4,0,0.0
he2022,exiting_tip,11th week post-fertilization stage,0,0,1,0.0012738853503184713
he2022,exiting_tip,11th week post-fertilization stage,0,1,5,0.006369426751592357
he2022,exiting_tip,11th week post-fertilization stage,0,2,9,0.011464968152866241
he2022,exiting_tip,11th week post-fertilization stage,0,3,1,0.0012738853503184713
he2022,exiting_tip,11th week post-fertilization stage,0,4,0,0.0
he2022,exiting_tip,11th week post-fertilization stage,1,0,6,0.007643312101910828
he2022,exiting_tip,11th week post-fertilization stage,1,1,13,0.016560509554140127
he2022,exiting_tip,11th week post-fertilization stage,1,2,19,0.024203821656050957
he2022,exiting_tip,11th week post-fertilization stage,1,3,6,0.007643312101910828
he2022,exiting_tip,11th week post-fertilization stage,1,4,0,0.0
he2022,exiting_tip,11th week post-fertilization stage,2,0,40,0.050955414012738856
he2022,exiting_tip,11th week post-fertilization stage,2,1,37,0.04713375796178344
he2022,exiting_tip,11th week post-fertilization stage,2,2,24,0.030573248407643312
he2022,exiting_tip,11th week post-fertilization stage,2,3,9,0.011464968152866241
he2022,exiting_tip,11th week post-fertilization stage,2,4,0,0.0
he2022,exiting_tip,11th week post-fertilization stage,3,0,72,0.09171974522292993
he2022,exiting_tip,11th week post-fertilization stage,3,1,64,0.08152866242038216
he2022,exiting_tip,11th week post-fertilization stage,3,2,50,0.06369426751592357
he2022,exiting_tip,11th week post-fertilization stage,3,3,2,0.0025477707006369425
he2022,exiting_tip,11th week post-fertilization stage,3,4,0,0.0
he2022,exiting_tip,11th week post-fertilization stage,4,0,101,0.1286624203821656
he2022,exiting_tip,11th week post-fertilization stage,4,1,138,0.17579617834394903
he2022,exiting_tip,11th week post-fertilization stage,4,2,162,0.20636942675159237
he2022,exiting_tip,11th week post-fertilization stage,4,3,26,0.033121019108280254
he2022,exiting_tip,11th week post-fertilization stage,4,4,0,0.0
he2022,all_epithelial,15th week post-fertilization stage,0,0,0,0.0
he2022,all_epithelial,15th week post-fertilization stage,0,1,0,0.0
he2022,all_epithelial,15th week post-fertilization stage,0,2,14,0.007287870900572618
he2022,all_epithelial,15th week post-fertilization stage,0,3,266,0.13846954711087975
he2022,all_epithelial,15th week post-fertilization stage,0,4,259,0.13482561166059345
he2022,all_epithelial,15th week post-fertilization stage,1,0,3,0.0015616866215512754
he2022,all_epithelial,15th week post-fertilization stage,1,1,1,0.0005205622071837585
he2022,all_epithelial,15th week post-fertilization stage,1,2,22,0.011452368558042686
he2022,all_epithelial,15th week post-fertilization stage,1,3,274,0.14263404476834982
he2022,all_epithelial,15th week post-fertilization stage,1,4,249,0.12961998958875587
he2022,all_epithelial,15th week post-fertilization stage,2,0,10,0.0052056220718375845
he2022,all_epithelial,15th week post-fertilization stage,2,1,17,0.008849557522123894
he2022,all_epithelial,15th week post-fertilization stage,2,2,27,0.014055179593961478
he2022,all_epithelial,15th week post-fertilization stage,2,3,157,0.08172826652785008
he2022,all_epithelial,15th week post-fertilization stage,2,4,144,0.07496095783446122
he2022,all_epithelial,15th week post-fertilization stage,3,0,66,0.03435710567412806
he2022,all_epithelial,15th week post-fertilization stage,3,1,70,0.03643935450286309
he2022,all_epithelial,15th week post-fertilization stage,3,2,42,0.021863612701717855
he2022,all_epithelial,15th week post-fertilization stage,3,3,46,0.02394586153045289
he2022,all_epithelial,15th week post-fertilization stage,3,4,28,0.014575741801145237
he2022,all_epithelial,15th week post-fertilization stage,4,0,34,0.017699115044247787
he2022,all_epithelial,15th week post-fertilization stage,4,1,57,0.029672045809474232
he2022,all_epithelial,15th week post-fertilization stage,4,2,51,0.02654867256637168
he2022,all_epithelial,15th week post-fertilization stage,4,3,79,0.04112441436751692
he2022,all_epithelial,15th week post-fertilization stage,4,4,5,0.0026028110359187923
he2022,exiting_tip,15th week post-fertilization stage,0,0,0,0.0
he2022,exiting_tip,15th week post-fertilization stage,0,1,0,0.0
he2022,exiting_tip,15th week post-fertilization stage,0,2,1,0.0018281535648994515
he2022,exiting_tip,15th week post-fertilization stage,0,3,22,0.04021937842778794
he2022,exiting_tip,15th week post-fertilization stage,0,4,10,0.018281535648994516
he2022,exiting_tip,15th week post-fertilization stage,1,0,2,0.003656307129798903
he2022,exiting_tip,15th week post-fertilization stage,1,1,1,0.0018281535648994515
he2022,exiting_tip,15th week post-fertilization stage,1,2,4,0.007312614259597806
he2022,exiting_tip,15th week post-fertilization stage,1,3,19,0.03473491773308958
he2022,exiting_tip,15th week post-fertilization stage,1,4,12,0.021937842778793418
he2022,exiting_tip,15th week post-fertilization stage,2,0,9,0.016453382084095063
he2022,exiting_tip,15th week post-fertilization stage,2,1,16,0.029250457038391225
he2022,exiting_tip,15th week post-fertilization stage,2,2,15,0.027422303473491772
he2022,exiting_tip,15th week post-fertilization stage,2,3,23,0.04204753199268738
he2022,exiting_tip,15th week post-fertilization stage,2,4,16,0.029250457038391225
he2022,exiting_tip,15th week post-fertilization stage,3,0,66,0.1206581352833638
he2022,exiting_tip,15th week post-fertilization stage,3,1,69,0.12614259597806216
he2022,exiting_tip,15th week post-fertilization stage,3,2,35,0.06398537477148081
he2022,exiting_tip,15th week post-fertilization stage,3,3,20,0.03656307129798903
he2022,exiting_tip,15th week post-fertilization stage,3,4,6,0.010968921389396709
he2022,exiting_tip,15th week post-fertilization stage,4,0,34,0.062157221206581355
he2022,exiting_tip,15th week post-fertilization stage,4,1,54,0.09872029250457039
he2022,exiting_tip,15th week post-fertilization stage,4,2,46,0.08409506398537477
he2022,exiting_tip,15th week post-fertilization stage,4,3,66,0.1206581352833638
he2022,exiting_tip,15th week post-fertilization stage,4,4,1,0.0018281535648994515
he2022,all_epithelial,18th week post-fertilization stage,0,0,0,0.0
he2022,all_epithelial,18th week post-fertilization stage,0,1,3,0.0016556291390728477
he2022,all_epithelial,18th week post-fertilization stage,0,2,18,0.009933774834437087
