substrate,view,stage,n_cells,bimodality_coefficient,gap_zone_fraction,co_commitment_fraction,median_distal_tip_score,median_airway_score,median_alveolar_score
he2022,all_epithelial,9th week post-fertilization stage,1799,0.5015253043685702,0.6058921623123957,0.09227348526959422,-0.0749316120147705,0.10112542867660523,-0.7829212999343873
he2022,exiting_tip,9th week post-fertilization stage,779,0.5181747479500526,0.6328626444159179,0.08729139922978177,-0.6075404691696167,0.700484619140625,-0.8423681855201721
he2022,all_epithelial,11th week post-fertilization stage,2043,0.46961783265682466,0.47381302006852666,0.20215369554576604,0.15298689365386964,0.12438574075698855,-0.49219315409660336
he2022,exiting_tip,11th week post-fertilization stage,785,0.41514070997869423,0.6165605095541401,0.12993630573248408,-0.5939725971221923,0.9496713829040527,-0.7509471654891968
he2022,all_epithelial,15th week post-fertilization stage,1921,0.7061202666252916,0.4809994794377928,0.18375845913586675,0.30584674835205083,-0.17049579381942748,0.9783509969711304
he2022,exiting_tip,15th week post-fertilization stage,547,0.6912125372347918,0.8756855575868373,0.3272394881170018,-0.6952269160747528,0.6306497859954834,-0.5280598497390747
he2022,all_epithelial,18th week post-fertilization stage,1812,0.6997489678944907,0.5899558498896247,0.1661147902869757,0.009425544738769442,-0.2069892010092735,1.1194493198394775
he2022,exiting_tip,18th week post-fertilization stage,759,0.6403640283517924,0.8959156785243741,0.2740447957839262,-0.6660871124267578,0.33679120063781737,0.16277197599411009
he2022,all_epithelial,20th week post-fertilization stage,856,0.8549475143199988,0.7850467289719626,0.0852803738317757,-0.7725112065672874,0.7301346349716187,-0.8215263366699219
he2022,exiting_tip,20th week post-fertilization stage,776,0.754273955581717,0.8311855670103093,0.08634020618556701,-0.7892839476466179,0.7706976246833801,-0.8393671035766601
he2022,all_epithelial,22nd week post-fertilization stage,1086,0.7810676448178213,0.6215469613259669,0.1279926335174954,-0.6863525161147117,0.1286403965950012,0.5602443170547486
he2022,exiting_tip,22nd week post-fertilization stage,911,0.7887230837664712,0.712403951701427,0.1437980241492865,-0.7428088456392288,0.3721568775177002,-0.10876055717468258
